time,low,high,open,close,volume
2021-10-26,1.6573,1.8575,1.6745,1.7344,92505220.2
2021-10-27,1.6055,1.9375,1.7347,1.7565,136013576.0
2021-10-28,1.7566,2.178,1.7568,2.135,150179014.1
2021-10-29,1.9184,2.22,2.1348,2.0254,105452523.4
2021-10-30,1.8278,2.0311,2.0256,1.8749,50180022.7
2021-10-31,1.795,2.0326,1.8748,1.9408,69642648.9
2021-11-01,1.84,1.9731,1.9407,1.903,43357594.3
2021-11-02,1.865,1.9723,1.903,1.9408,46028593.3
2021-11-03,1.9396,2.194,1.9412,2.0399,97153523.0
2021-11-04,1.8597,2.0414,2.0399,1.9165,63151189.8
2021-11-05,1.868,1.9507,1.9161,1.8963,27469920.0
2021-11-06,1.8121,1.9283,1.8965,1.8848,25805526.5
2021-11-07,1.8529,1.9162,1.8859,1.8864,18097972.9
2021-11-08,1.865,1.9438,1.8875,1.8947,39432888.9
2021-11-09,1.762,1.8971,1.8947,1.7778,43906942.0
2021-11-10,1.54,1.8945,1.7779,1.7029,73836106.0
2021-11-11,1.666,1.7904,1.7025,1.7552,37457344.6
2021-11-12,1.6354,1.7764,1.755,1.7163,34246459.1
2021-11-13,1.6982,1.7706,1.7163,1.7504,20052657.6
2021-11-14,1.687,1.7756,1.7504,1.7283,18989911.6
2021-11-15,1.6886,1.7672,1.7283,1.6927,23604540.9
2021-11-16,1.4687,1.6934,1.693,1.5616,76755389.4
2021-11-17,1.4893,1.6778,1.5622,1.6384,53532002.5
2021-11-18,1.4446,1.6805,1.6387,1.4981,57632423.5
2021-11-19,1.4808,1.6281,1.4975,1.6232,41928127.9
2021-11-20,1.5558,1.6805,1.624,1.6668,33344301.2
2021-11-21,1.5965,1.6697,1.6668,1.5988,20477856.0
2021-11-22,1.5269,1.6241,1.6,1.5593,36958069.3
2021-11-23,1.5433,1.7637,1.5592,1.751,49063045.5
2021-11-24,1.6506,1.83,1.7513,1.6861,61503111.8
2021-11-25,1.6712,1.937,1.6857,1.9271,72628946.1
2021-11-26,1.5904,1.968,1.9271,1.6401,80739436.2
2021-11-27,1.5881,1.7268,1.64,1.6136,37416991.5
2021-11-28,1.5,1.6664,1.6136,1.6545,41167911.4
2021-11-29,1.63,1.837,1.6526,1.8178,47137449.7
2021-11-30,1.6969,1.88,1.818,1.7867,64689069.1
2021-12-01,1.7742,2.0959,1.7867,2.0069,110605480.3
2021-12-02,1.9511,2.203,2.0077,2.1232,141528567.6
2021-12-03,2.06,2.4,2.1224,2.2709,198454132.6
2021-12-04,1.6203,2.3177,2.2696,1.9771,185169964.3
2021-12-05,1.8838,2.2029,1.9783,2.0548,140131911.4
2021-12-06,1.7132,2.3287,2.0548,2.2781,194956373.6
2021-12-07,2.2362,2.52,2.2783,2.3469,192207057.7
2021-12-08,2.2222,2.58,2.3474,2.4219,139133048.7
2021-12-09,2.0601,2.4414,2.4219,2.0867,181531845.0
2021-12-10,2.0434,2.2914,2.086,2.0916,116327145.3
2021-12-11,2.01,2.17,2.0916,2.14,76407945.0
2021-12-12,2.0285,2.1426,2.14,2.0856,53085221.7
2021-12-13,1.7515,2.0948,2.0851,1.8181,115492756.8
2021-12-14,1.7373,1.9479,1.8181,1.9431,79681222.4
2021-12-15,1.8291,2.247,1.9425,2.1294,139375038.7
2021-12-16,2.0616,2.2092,2.1312,2.0691,66200084.1
2021-12-17,1.9361,2.1621,2.0696,2.1288,66937092.1
2021-12-18,2.055,2.26,2.1287,2.2347,61665152.1
2021-12-19,2.1623,2.2957,2.2353,2.2227,45924617.5
2021-12-20,2.0463,2.2499,2.2219,2.1309,58589111.0
2021-12-21,2.1079,2.4099,2.1309,2.3749,69318867.4
2021-12-22,2.37,2.653,2.3749,2.5,109021877.2
2021-12-23,2.4637,2.7344,2.5008,2.6858,93762518.3
2021-12-24,2.421,2.6867,2.6859,2.4687,70014392.2
2021-12-25,2.426,2.69,2.4689,2.6409,43461821.4
2021-12-26,2.6111,2.89,2.6401,2.8793,69805011.0
2021-12-27,2.7131,2.9249,2.8805,2.7267,54411050.3
2021-12-28,2.441,2.7308,2.7263,2.4927,111784463.9
2021-12-29,2.4028,2.6214,2.4932,2.4767,71708176.9
2021-12-30,2.41,2.5978,2.4751,2.5539,47671330.8
2021-12-31,2.44,2.6726,2.5545,2.5242,48600773.3
2022-01-01,2.4994,2.6048,2.5251,2.5724,24485028.2
2022-01-02,2.504,2.586,2.573,2.5506,19829996.3
2022-01-03,2.36,2.5527,2.5506,2.4322,30634607.6
2022-01-04,2.3529,2.508,2.4333,2.365,44075111.0
2022-01-05,2.021,2.4524,2.3658,2.1831,72708500.7
2022-01-06,2.0666,2.2919,2.1829,2.2508,73372020.0
2022-01-07,2.0431,2.2649,2.2507,2.0531,75214827.9
2022-01-08,1.8951,2.1431,2.0535,1.9847,66087479.7
2022-01-09,1.9632,2.1697,1.9852,2.1155,39563287.2
2022-01-10,1.9207,2.1476,2.1153,2.0718,66700909.7
2022-01-11,2.0466,2.3731,2.0713,2.3614,73922390.2
2022-01-12,2.3001,2.4516,2.3609,2.3982,62137885.6
2022-01-13,2.241,2.4404,2.3977,2.2649,44582585.2
2022-01-14,2.1838,2.3524,2.2643,2.3364,40218607.0
2022-01-15,2.2947,2.4,2.3365,2.3463,27474483.7
2022-01-16,2.2845,2.3737,2.3466,2.3335,20754317.1
2022-01-17,2.165,2.455,2.3336,2.2196,58491547.5
2022-01-18,2.0779,2.2462,2.2195,2.1207,50733491.6
2022-01-19,2.0144,2.1435,2.1196,2.0297,47749353.0
2022-01-20,1.9517,2.1935,2.0295,1.9593,53768644.8
2022-01-21,1.6368,2.0265,1.9588,1.6989,145469363.2
2022-01-22,1.3935,1.7573,1.699,1.5375,144803928.5
2022-01-23,1.5103,1.67,1.5381,1.6174,76572393.3
2022-01-24,1.3073,1.6179,1.617,1.5077,118522062.0
2022-01-25,1.4106,1.6133,1.5077,1.5581,82034100.4
2022-01-26,1.5241,1.8361,1.5596,1.5911,120409502.9
2022-01-27,1.4965,1.6691,1.5906,1.589,88782697.1
2022-01-28,1.563,1.7039,1.59,1.674,92643228.1
2022-01-29,1.6507,1.742,1.6732,1.6969,38019034.7
2022-01-30,1.5755,1.71,1.6974,1.6043,45015358.7
2022-01-31,1.5247,1.6535,1.6041,1.6429,50348878.6
2022-02-01,1.6108,1.6813,1.643,1.6495,61252318.7
2022-02-02,1.5216,1.6647,1.6493,1.5391,41853128.0
2022-02-03,1.4763,1.562,1.5399,1.5562,41979055.0
2022-02-04,1.5365,1.6971,1.5558,1.6971,43632286.7
2022-02-05,1.6737,1.7573,1.6966,1.7123,43575470.9
2022-02-06,1.6676,1.7568,1.7124,1.7397,26048916.0
2022-02-07,1.699,2.0977,1.7405,2.0193,101070420.9
2022-02-08,1.8604,2.0499,2.0193,1.9438,58554884.6
2022-02-09,1.8906,2.0617,1.9443,2.0387,44087847.1
2022-02-10,1.8696,2.044,2.0382,1.8975,65446577.3
2022-02-11,1.6757,1.9026,1.8962,1.7162,85494604.8
2022-02-12,1.643,1.7664,1.7159,1.7016,34492195.4
2022-02-13,1.6435,1.7245,1.7027,1.6599,22922237.2
2022-02-14,1.5967,1.6793,1.6598,1.6568,47335743.1
2022-02-15,1.6526,1.88,1.6576,1.8741,42522711.4
2022-02-16,1.7494,1.8802,1.8733,1.8375,40631664.3
2022-02-17,1.6466,1.8662,1.8369,1.6623,42960997.8
2022-02-18,1.5808,1.7142,1.6626,1.5933,37886797.8
2022-02-19,1.5591,1.6438,1.5928,1.6335,19324501.0
2022-02-20,1.4928,1.6353,1.6328,1.5127,31389518.1
2022-02-21,1.4002,1.6162,1.5118,1.4053,58098826.2
2022-02-22,1.3482,1.4768,1.4053,1.4629,55261411.2
2022-02-23,1.4327,1.5974,1.4628,1.4369,55417291.8
2022-02-24,1.246,1.515,1.4373,1.4414,114777467.5
2022-02-25,1.403,1.5762,1.4414,1.5525,49611554.6
2022-02-26,1.5033,1.5953,1.5525,1.5161,24819500.9
2022-02-27,1.4243,1.5471,1.5176,1.453,32264709.6
2022-02-28,1.4218,1.6185,1.4523,1.614,45174744.7
2022-03-01,1.5553,1.6654,1.6143,1.6243,51292316.6
2022-03-02,1.5828,1.6994,1.624,1.6367,43931868.2
2022-03-03,1.5416,1.6521,1.6372,1.5856,32315601.7
2022-03-04,1.4525,1.5878,1.5854,1.4778,30460958.2
2022-03-05,1.448,1.5158,1.478,1.5092,14342618.2
2022-03-06,1.4307,1.5192,1.5083,1.4346,14673808.8
2022-03-07,1.37,1.4968,1.4352,1.4105,38076104.4
2022-03-08,1.403,1.4764,1.4105,1.4468,26718620.8
2022-03-09,1.4441,1.5454,1.4467,1.5061,30487542.3
2022-03-10,1.4011,1.5117,1.5066,1.437,25333181.2
2022-03-11,1.4037,1.4738,1.4366,1.405,25702622.1
2022-03-12,1.3936,1.4346,1.4049,1.3974,12452183.5
2022-03-13,1.3526,1.4205,1.3971,1.3608,13715985.6
2022-03-14,1.3302,1.3939,1.3606,1.379,20886888.2
2022-03-15,1.3311,1.41,1.3786,1.3788,17606465.0
2022-03-16,1.3553,1.4711,1.3788,1.4683,25386673.3
2022-03-17,1.4381,1.4996,1.4684,1.4472,17975226.9
2022-03-18,1.4179,1.5115,1.4473,1.4984,18761947.8
2022-03-19,1.4985,1.5425,1.4985,1.5302,18697425.0
2022-03-20,1.4592,1.5374,1.5307,1.4658,12822568.9
2022-03-21,1.4426,1.4994,1.466,1.4646,15225389.8
2022-03-22,1.4581,1.5345,1.4646,1.5072,17591207.5
2022-03-23,1.4933,1.56,1.5068,1.5562,17804729.6
2022-03-24,1.5451,1.6393,1.5567,1.6307,26034771.7
2022-03-25,1.5644,1.664,1.6309,1.5783,24246492.2
2022-03-26,1.5682,1.6163,1.5785,1.6121,9426163.3
2022-03-27,1.6023,1.6973,1.6121,1.6949,14935711.0
2022-03-28,1.6518,1.7466,1.6955,1.6575,27927818.9
2022-03-29,1.6359,1.7374,1.6574,1.676,22997335.8
2022-03-30,1.6242,1.7266,1.6755,1.6827,21821891.0
2022-03-31,1.6079,1.7498,1.6829,1.6189,30000131.1
2022-04-01,1.5604,1.7128,1.6188,1.6961,22121109.7
2022-04-02,1.6459,1.729,1.6955,1.6527,16946261.5
2022-04-03,1.6333,1.7141,1.6526,1.688,15381653.5
2022-04-04,1.6068,1.6895,1.6876,1.6478,16778985.3
2022-04-05,1.5873,1.6763,1.6478,1.5921,14395358.9
2022-04-06,1.4534,1.5934,1.5929,1.4574,31171601.7
2022-04-07,1.4377,1.5201,1.4573,1.5114,20097034.1
2022-04-08,1.4234,1.5273,1.5116,1.4345,17986398.0
2022-04-09,1.4266,1.4678,1.4345,1.4629,8591762.2
2022-04-10,1.42,1.4901,1.4632,1.4264,9051931.3
2022-04-11,1.3131,1.4395,1.4262,1.3354,26714404.4
2022-04-12,1.3265,1.4765,1.3348,1.3938,33197652.6
2022-04-13,1.3658,1.4388,1.3935,1.4198,19116763.7
2022-04-14,1.3524,1.4442,1.4198,1.3739,14481354.7
2022-04-15,1.3666,1.3989,1.374,1.3974,7987032.1
2022-04-16,1.3652,1.4035,1.3975,1.3892,5499057.5
2022-04-17,1.3323,1.3909,1.3886,1.3371,7840464.9
2022-04-18,1.2933,1.4265,1.3371,1.4187,23912581.9
2022-04-19,1.3938,1.45,1.4189,1.4278,15624898.2
2022-04-20,1.3956,1.4662,1.4279,1.4176,15466629.9
2022-04-21,1.3596,1.468,1.4176,1.3781,16962146.5
2022-04-22,1.372,1.5053,1.3776,1.3978,36725423.2
2022-04-23,1.3444,1.4125,1.3978,1.3633,10120159.7
2022-04-24,1.3324,1.3747,1.3633,1.344,8228432.6
2022-04-25,1.2634,1.3555,1.3439,1.352,24748632.7
2022-04-26,1.2237,1.3618,1.3525,1.2447,17838568.7
2022-04-27,1.2346,1.2926,1.2446,1.2574,12677646.2
2022-04-28,1.2267,1.2797,1.2571,1.2373,13896495.7
2022-04-29,1.1275,1.2461,1.2378,1.1403,26136664.2
2022-04-30,1.0118,1.1658,1.1407,1.0327,28870070.4
2022-05-01,1.0146,1.1231,1.0327,1.0991,27376944.5
2022-05-02,1.0366,1.1208,1.0991,1.0761,28973590.1
2022-05-03,1.0532,1.1164,1.0768,1.076,18261136.9
2022-05-04,1.0694,1.1745,1.076,1.1718,24523996.8
2022-05-05,1.0295,1.1869,1.1724,1.0644,28418795.5
2022-05-06,1.011,1.0765,1.0644,1.0418,28710668.1
2022-05-07,0.9922,1.0664,1.0417,1.019,26809913.5
2022-05-08,0.9603,1.0296,1.0188,0.9754,31298807.6
2022-05-09,0.7868,0.991,0.9758,0.8106,70946669.8
2022-05-10,0.7904,0.9895,0.8101,0.889,88991474.0
